 ProdDate ;ProdTime;BitronCode;UUT;Result;Mode;FailNo;TestTime;Check Barcode;Test1;Test1;Test1;Test1;Test1;Test1;Test1;Test1;Test1;Test1;
2019-09-23;13:20:56; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:57; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:57; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:58; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:58; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:59; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:59; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:01; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:01; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:03; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:03; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:04; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:04; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:06; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:06; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:20; 30410001 ; 0 ;  OK  ;  0 ;   -  ;0.094 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:21; 30410001 ; 1 ;  OK  ;  0 ;   -  ;0.094 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:25; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.016 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:25; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.016 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:27; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.047 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:28; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.047 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:30; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.047 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:30; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.047 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:31; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.047 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:31; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.047 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:34; 30410001 ; 0 ;  OK  ;  0 ;   -  ;0.047 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:35; 30410001 ; 1 ;  OK  ;  0 ;   -  ;0.047 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:36; 30410001 ; 0 ;  OK  ;  0 ;   -  ;0.047 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:36; 30410001 ; 1 ;  OK  ;  0 ;   -  ;0.047 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:38; 30410001 ; 0 ;  OK  ;  0 ;   -  ;0.047 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:38; 30410001 ; 1 ;  OK  ;  0 ;   -  ;0.047 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:40; 30410001 ; 0 ;  OK  ;  0 ;   -  ;0.047 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:40; 30410001 ; 1 ;  OK  ;  0 ;   -  ;0.047 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:41; 30410001 ; 0 ;  OK  ;  0 ;   -  ;0.047 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:42; 30410001 ; 1 ;  OK  ;  0 ;   -  ;0.047 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:43; 30410001 ; 0 ;  OK  ;  0 ;   -  ;0.047 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:43; 30410001 ; 1 ;  OK  ;  0 ;   -  ;0.047 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:47; 30410001 ; 0 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:47; 30410001 ; 1 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:49; 30410001 ; 0 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:49; 30410001 ; 1 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:50; 30410001 ; 0 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:51; 30410001 ; 1 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:53; 30410001 ; 0 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:53; 30410001 ; 1 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:54; 30410001 ; 0 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:54; 30410001 ; 1 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:55; 30410001 ; 0 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:56; 30410001 ; 1 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:56; 30410001 ; 0 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:21:57; 30410001 ; 1 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:22:03; 30410001 ; 0 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:22:03; 30410001 ; 1 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:22:05; 30410001 ; 0 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:22:05; 30410001 ; 1 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:22:07; 30410001 ; 0 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:22:07; 30410001 ; 1 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:22:08; 30410001 ; 0 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:22:09; 30410001 ; 1 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:22:10; 30410001 ; 0 ;  OK  ;  0 ;   -  ;2.297 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
